pertanyaan,jawaban
"jam kerja kantor","Jam kerja perusahaan dimulai pukul 08.00 WIB dan berakhir pukul 17.00 WIB hari Senin sampai Jumat."
"cara presensi absen","Karyawan wajib melakukan presensi kehadiran menggunakan sidik jari atau aplikasi mobile saat datang dan pulang."
"sanksi telat terlambat","Keterlambatan lebih dari 15 menit akan dikenakan pemotongan tunjangan kehadiran."
"pakaian seragam senin kamis","Pakaian kerja hari Senin sampai Kamis adalah kemeja rapi atau seragam kantor."
"pakaian jumat","Pakaian kerja hari Jumat adalah batik atau pakaian kasual yang sopan."
"jatah cuti tahunan","Cuti tahunan diberikan sebanyak 12 hari kerja setelah karyawan bekerja selama 1 tahun berturut-turut."
"cara ajukan cuti","Pengajuan cuti harus dilakukan minimal 3 hari sebelum tanggal cuti melalui sistem HRIS."
"izin sakit","Izin sakit harus disertai dengan surat keterangan dokter yang sah."
"aturan lembur","Lembur hanya dihitung jika ada surat perintah lembur dari atasan."
"tunjangan bpjs","Karyawan berhak mendapatkan tunjangan kesehatan dan BPJS Ketenagakerjaan."
"aturan merokok","Dilarang merokok di dalam ruang kerja, merokok hanya diperbolehkan di area khusus merokok."
"rahasia perusahaan","Setiap karyawan wajib menjaga kerahasiaan data perusahaan."